2019-05-12 01:51:24 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-12 01:51:24 INFO  SparkContext:54 - Running Spark version 2.4.0
2019-05-12 01:51:24 INFO  SparkContext:54 - Submitted application: JavaStructuredNetworkWordCount
2019-05-12 01:51:24 INFO  SecurityManager:54 - Changing view acls to: abhishekkumar
2019-05-12 01:51:24 INFO  SecurityManager:54 - Changing modify acls to: abhishekkumar
2019-05-12 01:51:24 INFO  SecurityManager:54 - Changing view acls groups to: 
2019-05-12 01:51:24 INFO  SecurityManager:54 - Changing modify acls groups to: 
2019-05-12 01:51:24 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(abhishekkumar); groups with view permissions: Set(); users  with modify permissions: Set(abhishekkumar); groups with modify permissions: Set()
2019-05-12 01:51:24 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 58208.
2019-05-12 01:51:24 INFO  SparkEnv:54 - Registering MapOutputTracker
2019-05-12 01:51:24 INFO  SparkEnv:54 - Registering BlockManagerMaster
2019-05-12 01:51:24 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2019-05-12 01:51:24 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2019-05-12 01:51:24 INFO  DiskBlockManager:54 - Created local directory at /private/var/folders/14/dhgssz4s4758hpvkbdrsz94m0000gp/T/blockmgr-4a5f4b2b-d9f3-4363-98ca-f3dc235f3fac
2019-05-12 01:51:24 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2019-05-12 01:51:24 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2019-05-12 01:51:25 INFO  log:192 - Logging initialized @4623ms
2019-05-12 01:51:25 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2019-05-12 01:51:25 INFO  Server:419 - Started @4696ms
2019-05-12 01:51:25 INFO  AbstractConnector:278 - Started ServerConnector@61dde151{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
